0.126,0.206,NaN,0.181,NaN,NaN,NaN,0.085,0.076,0.114,NaN,0.082,NaN,
0.122,0.216,NaN,0.187,NaN,NaN,0.182,0.110,0.121,NaN,NaN,0.141,0.333,
0.161,0.253,NaN,0.224,0.266,NaN,NaN,0.163,NaN,NaN,NaN,NaN,0.396,
NaN,0.274,0.320,0.238,0.257,0.293,0.300,0.181,NaN,NaN,0.258,0.206,0.398,
0.134,0.255,NaN,0.213,NaN,NaN,0.229,0.147,0.201,NaN,NaN,NaN,0.423,
0.163,0.262,NaN,0.227,NaN,NaN,NaN,0.183,NaN,0.236,NaN,NaN,0.422,
NaN,0.298,NaN,0.266,0.163,NaN,NaN,0.227,NaN,0.234,NaN,NaN,0.437,
0.174,0.297,NaN,0.238,0.235,0.086,NaN,0.149,NaN,0.188,NaN,NaN,0.388,
NaN,0.275,NaN,0.391,NaN,0.440,NaN,0.271,NaN,0.295,NaN,NaN,0.515,
NaN,0.429,NaN,0.378,NaN,NaN,NaN,0.337,NaN,0.289,NaN,NaN,0.467,
0.135,0.271,NaN,0.244,NaN,NaN,0.305,0.150,NaN,0.176,NaN,0.193,0.392,
0.177,0.252,NaN,0.225,NaN,0.168,0.237,0.146,NaN,NaN,0.250,NaN,0.400,
NaN,0.682,NaN,0.648,0.700,NaN,0.658,0.644,0.618,NaN,NaN,NaN,0.765,
NaN,NaN,NaN,0.681,NaN,0.651,NaN,0.604,NaN,NaN,NaN,NaN,NaN,
NaN,0.386,NaN,0.402,NaN,NaN,0.505,0.306,0.339,NaN,NaN,NaN,0.472,
0.186,0.352,NaN,0.339,NaN,0.568,NaN,0.215,0.406,0.367,NaN,NaN,0.499,
NaN,0.544,NaN,0.627,NaN,NaN,NaN,0.546,0.583,NaN,NaN,NaN,NaN,
NaN,0.610,NaN,0.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.159,0.265,NaN,0.223,0.212,NaN,0.190,0.134,0.156,0.155,NaN,NaN,0.429,
0.599,0.610,NaN,0.598,NaN,NaN,NaN,0.541,NaN,NaN,NaN,NaN,NaN,
