10, 1, 3, 18.787, -1.344, 3, 21.799, 1.668
18, 110, 8, 2.942, 0.827, 7, 7.192, 0.929
19, 110, 8, 3.777, 0.835, 7, 7.192, 0.929
24, 153, 3, 7.418, -0.242, 3, 10.440, 2.780
26, 123, 7, 8.385, 0.729, 0, 4.157, 0.003
26, 141, 3, 0.813, -12.393, 0, 4.036, 0.043
27, 123, 7, 0.627, -7.759, 0, 4.159, 0.002
48, 110, 8, 6.453, -1.439, 7, 11.106, 0.002
68, 144, 3, 0.118, -12.504, 3, 4.490, -13.138
99, 406, 5, 5.235, -3.252, 3, 10.440, 2.780
100, 70, 9, 11.110, 0.000, 3, 1.764, -16.028
113, 456, 7, 3.648, -2.615, 7, 7.192, 0.929
120, 425, 3, 5.646, -13.037, 7, 9.125, 0.569
123, 459, 3, 18.266, 0.137, 1, 2.222, 0.000
135, 344, 3, 7.660, 2.605, 3, 3.120, -5.040
138, 472, 7, 4.432, -2.857, 7, 7.504, 0.884
140, 416, 3, 10.950, -0.286, 3, 13.967, 2.732
141, 510, 3, 13.188, -0.295, 3, 16.747, 2.501
145, 566, 9, 2.839, -3.652, 7, 9.214, 0.548
146, 566, 9, 3.943, 1.104, 7, 9.214, 0.548
157, 556, 6, 6.021, 0.796, 1, 1.817, 0.134
158, 556, 6, 6.021, 0.796, 1, 1.921, 0.105
159, 572, 3, 3.628, -12.173, 3, 7.160, -15.234
166, 35, 1, 0.733, -1.489, 6, 3.863, -1.055
167, 35, 1, 0.983, 0.249, 6, 3.863, -1.055
168, 35, 1, 1.221, 0.238, 6, 3.863, 1.578
169, 556, 6, 3.863, 2.690, 1, 1.434, 0.213
170, 556, 6, 3.863, 0.346, 1, 1.561, 0.127
171, 556, 6, 3.863, 1.578, 1, 0.200, -1.361
172, 556, 6, 3.863, 2.689, 1, 0.003, -0.197
173, 556, 6, 3.863, 2.839, 1, 0.105, 0.102
173, 566, 9, 6.810, -1.946, 7, 11.111, 0.000
174, 556, 6, 3.863, 2.839, 1, 0.265, 0.160
177, 709, 7, 1.242, 0.646, 8, 3.962, 0.830
178, 595, 3, 2.590, 2.182, 1, 1.203, 0.240
178, 697, 7, 4.131, 1.101, 7, 2.154, 0.912
178, 709, 7, 2.154, 0.912, 8, 3.962, 0.830
178, 721, 7, 0.597, -2.144, 7, 4.131, 1.101
179, 718, 3, 2.818, 1.711, 3, 2.955, 1.751
179, 721, 7, 1.333, 0.737, 7, 4.131, 1.101
180, 721, 7, 1.333, 0.737, 7, 4.131, 1.101
181, 35, 1, 1.753, 0.151, 6, 9.924, 0.750
181, 721, 7, 1.333, 0.737, 7, 4.131, 1.101
182, 35, 1, 1.872, 0.119, 6, 9.924, 0.750
183, 556, 6, 9.924, -9.924, 1, 1.964, 0.092
183, 697, 7, 0.583, -2.126, 7, 4.306, 1.105
184, 458, 6, 22.422, 2.369, 3, 13.657, 2.747
185, 510, 3, 14.305, 0.648, 6, 17.234, -5.188
188, 758, 3, 7.418, -0.242, 3, 10.440, 2.780
199, 800, 3, 1.548, -9.588, 3, 5.055, 2.237
206, 774, 3, 3.748, -11.976, 10, 7.194, 0.657
225, 818, 3, 9.410, -0.232, 3, 12.429, 2.788
225, 848, 7, 7.512, -3.326, 7, 10.906, 0.068
229, 915, 7, 2.661, -2.568, 7, 6.263, 1.034
232, 868, 9, 10.371, 0.040, 6, 15.325, 0.789
248, 819, 3, 7.367, 2.574, 3, 11.712, -4.953
255, 933, 4, 15.174, 2.857, 3, 9.380, -4.781
255, 989, 3, 13.206, 2.766, 1, 2.215, 0.003
262, 853, 3, 7.860, -8.387, 3, 10.882, -5.365
263, 903, 3, 6.723, -6.527, 3, 0.194, -13.146
263, 980, 3, 7.290, 2.566, 3, 2.736, -13.505
279, 774, 3, 3.351, -19.264, 8, 7.213, 0.339
279, 1131, 3, 10.187, -0.252, 3, 13.206, 2.766
282, 1010, 4, 11.646, -0.824, 3, 15.492, 2.625
283, 380, 1, 2.222, 0.000, 6, 12.974, -1.771
284, 1156, 3, 10.187, -0.252, 3, 13.206, 2.766
289, 1167, 3, 12.788, -0.418, 3, 15.804, 2.598
296, 1202, 3, 10.187, -0.252, 3, 13.206, 2.766
301, 738, 3, 4.996, -13.422, 7, 8.875, 0.626
302, 1076, 7, 5.841, -0.780, 3, 9.858, 2.760
302, 1109, 3, 15.851, 2.593, 3, 24.160, 1.099
307, 977, 3, 10.611, -10.808, 3, 14.244, 2.716
309, 817, 3, 9.714, 1.872, 3, 5.488, -9.436
312, 1093, 7, 7.505, 0.883, 1, 2.222, 0.000
312, 1193, 3, 1.580, -12.043, 3, 4.531, -17.064
322, 802, 3, 17.975, 1.449, 3, 12.189, 2.792
323, 1030, 7, 7.050, 0.948, 3, 12.898, -4.776
324, 1068, 9, 6.446, -4.200, 7, 11.110, 0.000
324, 1126, 7, 7.718, -3.387, 7, 11.106, 0.002
