0.108,0.190,NaN,0.160,NaN,0.114,0.167,0.081,0.082,NaN,NaN,NaN,NaN,
0.124,0.203,NaN,0.162,NaN,0.167,NaN,0.115,NaN,NaN,NaN,0.190,0.364,
NaN,0.230,0.259,0.195,NaN,NaN,0.147,0.122,NaN,0.426,NaN,0.190,0.343,
NaN,0.252,NaN,0.198,0.262,NaN,0.235,0.113,NaN,NaN,NaN,NaN,0.343,
NaN,0.227,NaN,0.186,0.232,0.111,NaN,0.122,NaN,NaN,NaN,NaN,0.375,
NaN,0.269,NaN,0.203,0.193,NaN,0.158,0.160,0.298,NaN,NaN,NaN,0.372,
0.128,0.254,0.362,0.204,0.226,0.283,0.199,0.144,0.196,0.192,NaN,NaN,0.427,
0.142,0.247,NaN,0.201,0.330,NaN,NaN,0.143,NaN,NaN,NaN,NaN,0.383,
0.402,0.358,NaN,0.296,NaN,0.337,NaN,0.288,NaN,NaN,NaN,0.215,0.506,
0.238,0.308,NaN,0.320,NaN,0.281,NaN,0.333,NaN,NaN,NaN,0.332,0.477,
0.252,0.268,0.235,0.212,NaN,0.230,0.249,0.124,0.207,NaN,NaN,NaN,0.344,
0.221,0.253,NaN,0.213,NaN,0.216,0.170,0.151,NaN,NaN,NaN,NaN,0.353,
NaN,0.251,NaN,0.520,NaN,NaN,0.600,0.464,NaN,NaN,NaN,NaN,NaN,
NaN,0.272,NaN,0.463,NaN,0.480,0.673,0.497,NaN,NaN,NaN,NaN,NaN,
NaN,0.369,NaN,0.312,NaN,NaN,NaN,0.254,NaN,0.329,NaN,NaN,0.523,
NaN,0.337,NaN,0.284,NaN,NaN,NaN,0.228,0.388,NaN,NaN,NaN,0.438,
NaN,0.378,NaN,0.333,NaN,NaN,NaN,0.237,NaN,NaN,NaN,NaN,NaN,
NaN,0.243,NaN,0.285,NaN,NaN,NaN,0.201,NaN,NaN,NaN,NaN,NaN,
0.166,0.240,NaN,0.197,NaN,0.182,NaN,0.133,NaN,0.135,0.413,0.114,0.387,
NaN,0.472,NaN,0.437,NaN,NaN,NaN,0.406,NaN,NaN,NaN,NaN,0.634,
