0.000,0.000,6649.000,0.000,
0.000,1.000,7671.000,4647.000,
0.000,0.000,7831.000,4611.000,
0.000,3.000,7690.000,4611.000,
0.000,0.000,7701.000,4496.000,
0.000,2.000,7767.000,4666.000,
0.000,2.000,7708.000,5761.000,
0.000,1.000,7624.000,5737.000,
0.000,0.000,7434.000,5783.000,
0.000,1.000,7751.000,5765.000,
0.000,0.000,7498.000,5693.000,
0.000,0.000,7731.000,5829.000,
0.000,2.000,7277.000,5706.000,
0.000,0.000,7179.000,5770.000,
0.000,3.000,7808.000,5723.000,
0.000,0.000,7696.000,5678.000,
0.000,0.000,7205.000,5791.000,
0.000,1.000,7327.000,5647.000,
0.000,0.000,7583.000,5755.000,
0.000,1.000,7324.000,5662.000,
