0.130,0.232,NaN,0.169,0.142,NaN,0.130,0.096,NaN,0.144,NaN,NaN,NaN,
0.139,0.244,NaN,0.183,0.224,NaN,0.205,0.139,NaN,0.235,NaN,NaN,0.436,
NaN,0.286,NaN,0.235,NaN,0.281,NaN,0.179,NaN,0.213,NaN,0.095,0.492,
0.211,0.333,NaN,0.219,NaN,NaN,NaN,0.196,NaN,NaN,NaN,NaN,0.474,
0.200,0.288,0.331,0.219,NaN,0.226,NaN,0.169,0.210,0.191,NaN,NaN,0.474,
0.190,0.297,NaN,0.225,NaN,0.267,0.193,0.169,NaN,NaN,NaN,NaN,0.443,
0.200,0.297,0.382,0.223,NaN,NaN,0.987,0.202,0.234,0.169,0.220,NaN,0.461,
0.216,0.281,NaN,0.222,0.247,0.203,NaN,0.159,NaN,NaN,NaN,NaN,0.496,
0.299,0.545,NaN,0.400,NaN,NaN,NaN,0.357,0.293,NaN,NaN,NaN,NaN,
0.242,0.410,NaN,0.387,NaN,NaN,NaN,0.287,NaN,NaN,NaN,NaN,0.537,
NaN,0.287,NaN,0.254,0.224,0.246,0.275,0.145,NaN,0.194,NaN,NaN,NaN,
0.172,0.286,0.339,0.268,0.195,0.234,0.277,0.162,0.228,0.271,NaN,NaN,0.430,
0.212,NaN,NaN,0.510,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.309,NaN,0.281,NaN,NaN,0.323,0.218,NaN,NaN,NaN,NaN,NaN,
NaN,0.400,NaN,0.368,NaN,NaN,NaN,0.314,NaN,NaN,NaN,NaN,0.539,
0.220,0.377,NaN,0.348,NaN,NaN,NaN,0.265,0.249,0.397,NaN,NaN,0.519,
NaN,0.680,NaN,0.458,0.260,0.645,NaN,0.533,0.649,0.638,0.660,NaN,0.654,
0.226,0.303,NaN,0.339,NaN,NaN,NaN,0.216,NaN,NaN,NaN,NaN,NaN,
0.151,0.293,0.314,0.223,0.252,0.167,0.281,0.167,NaN,NaN,NaN,NaN,0.428,
0.452,NaN,NaN,0.440,0.589,NaN,NaN,0.404,NaN,NaN,NaN,NaN,NaN,
