4.133,7.265,NaN,1.347,NaN,NaN,1.000,1.891,NaN,1.967,NaN,NaN,NaN,
4.500,7.231,NaN,1.452,NaN,NaN,2.208,2.158,4.117,3.383,NaN,NaN,14.147,
NaN,8.319,NaN,2.169,4.400,NaN,NaN,3.083,NaN,2.717,NaN,NaN,12.604,
4.725,8.819,10.133,2.197,2.767,3.278,3.450,3.376,5.850,4.672,NaN,NaN,14.975,
5.758,8.953,NaN,2.487,NaN,2.667,NaN,3.195,NaN,NaN,NaN,NaN,13.275,
NaN,9.433,NaN,2.588,2.992,3.867,2.217,3.656,5.600,NaN,6.025,NaN,14.767,
4.433,7.929,NaN,2.196,NaN,1.950,2.650,2.877,NaN,3.883,NaN,6.667,15.044,
4.650,8.397,NaN,2.683,3.317,3.667,3.122,3.794,NaN,NaN,NaN,NaN,13.078,
NaN,23.033,24.033,10.452,5.333,NaN,NaN,9.383,NaN,NaN,NaN,NaN,25.758,
NaN,12.123,NaN,5.832,6.667,4.939,7.450,6.031,NaN,NaN,9.450,NaN,16.225,
6.883,8.963,NaN,2.450,2.467,NaN,1.217,3.954,NaN,5.950,NaN,NaN,13.133,
4.800,8.458,NaN,2.197,2.400,4.233,2.583,3.676,NaN,4.217,NaN,NaN,16.075,
NaN,17.714,NaN,12.912,13.083,2.483,NaN,12.517,14.233,12.567,NaN,14.050,17.625,
19.267,17.237,NaN,10.648,12.967,NaN,NaN,16.270,10.500,NaN,NaN,NaN,21.057,
7.667,12.227,NaN,5.651,NaN,5.425,8.756,6.876,NaN,NaN,NaN,NaN,18.539,
NaN,13.288,12.650,5.373,6.700,7.825,2.750,6.244,9.667,NaN,NaN,NaN,15.863,
NaN,8.760,NaN,5.755,NaN,NaN,8.817,6.385,NaN,NaN,NaN,NaN,15.871,
6.333,13.932,NaN,9.103,9.317,NaN,NaN,3.467,5.850,NaN,NaN,NaN,15.746,
6.550,9.215,NaN,2.281,2.267,2.500,NaN,3.483,3.683,3.550,NaN,NaN,13.828,
17.133,16.647,NaN,12.439,NaN,NaN,NaN,10.831,NaN,NaN,NaN,NaN,19.000,
