1.333,2.229,NaN,0.511,NaN,NaN,0.392,0.632,0.667,0.683,NaN,NaN,NaN,
1.283,2.388,NaN,0.538,NaN,0.922,0.883,0.720,NaN,NaN,NaN,0.767,4.317,
NaN,2.595,NaN,0.752,0.875,NaN,0.667,0.812,1.083,NaN,NaN,NaN,4.906,
1.533,2.576,NaN,0.688,NaN,NaN,0.658,0.953,NaN,1.422,NaN,NaN,4.438,
1.250,2.560,NaN,0.757,0.683,0.788,0.977,0.826,1.317,1.161,NaN,NaN,4.902,
1.539,2.444,NaN,0.655,0.629,0.767,0.700,0.882,NaN,1.517,1.317,1.200,4.369,
1.433,2.450,NaN,0.764,0.833,0.450,0.617,1.048,NaN,NaN,NaN,NaN,4.570,
1.442,2.658,2.933,0.662,NaN,NaN,0.533,1.026,0.867,0.933,1.717,NaN,4.549,
NaN,3.833,NaN,2.103,1.933,NaN,3.317,1.993,NaN,NaN,NaN,NaN,5.249,
3.096,3.644,NaN,2.025,NaN,2.367,2.678,2.738,3.767,NaN,3.067,5.167,4.769,
NaN,2.629,NaN,0.723,0.833,1.667,NaN,0.915,2.633,NaN,NaN,NaN,4.261,
1.400,2.667,2.967,0.748,1.083,2.300,0.892,0.819,NaN,NaN,NaN,NaN,4.978,
1.183,3.167,NaN,1.036,NaN,0.542,0.667,1.662,3.417,NaN,3.333,NaN,5.294,
2.300,2.781,NaN,1.780,NaN,0.408,NaN,0.578,5.633,NaN,NaN,NaN,4.928,
3.617,4.056,7.217,1.635,NaN,1.242,NaN,2.274,4.917,2.333,NaN,1.633,5.853,
2.358,3.600,NaN,1.706,0.517,2.517,2.325,1.731,3.000,NaN,3.275,NaN,5.154,
NaN,7.354,NaN,4.792,0.383,0.667,NaN,3.577,NaN,1.733,3.017,NaN,7.926,
NaN,4.344,NaN,4.885,NaN,NaN,NaN,1.286,3.492,0.850,NaN,NaN,5.181,
NaN,2.682,NaN,0.719,NaN,0.758,NaN,1.056,1.108,NaN,NaN,3.683,4.714,
NaN,5.281,4.783,2.100,2.083,NaN,NaN,5.098,7.075,NaN,NaN,3.500,9.167,
