0.194,0.277,0.322,0.249,0.319,0.196,0.218,0.119,0.166,NaN,NaN,NaN,NaN,
0.176,0.294,NaN,0.244,0.265,0.214,NaN,0.153,NaN,0.121,NaN,0.299,0.502,
0.218,0.356,NaN,0.321,0.376,NaN,0.359,0.218,NaN,NaN,NaN,NaN,0.545,
0.191,0.339,NaN,0.360,0.260,0.430,NaN,0.202,NaN,0.433,0.260,NaN,0.582,
0.249,0.320,NaN,0.304,NaN,NaN,NaN,0.202,NaN,NaN,NaN,0.295,0.557,
NaN,0.338,NaN,0.322,0.302,NaN,0.373,0.222,NaN,0.314,NaN,NaN,0.516,
0.213,0.382,NaN,0.308,NaN,NaN,0.373,0.229,NaN,NaN,NaN,NaN,0.534,
NaN,0.352,NaN,0.295,NaN,0.338,NaN,0.200,0.382,NaN,NaN,NaN,0.561,
NaN,NaN,NaN,0.454,0.513,NaN,NaN,0.387,0.479,NaN,NaN,NaN,0.635,
0.372,0.531,NaN,0.445,0.512,NaN,NaN,0.348,NaN,0.620,NaN,NaN,0.674,
0.274,0.340,NaN,0.309,0.340,0.323,NaN,0.224,NaN,NaN,NaN,NaN,0.553,
0.264,0.348,0.390,0.316,0.274,0.253,NaN,0.237,0.354,0.257,NaN,NaN,0.583,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.420,0.503,0.487,NaN,NaN,NaN,0.380,0.357,0.521,NaN,NaN,NaN,
NaN,0.497,NaN,0.437,0.486,0.401,NaN,0.476,NaN,NaN,NaN,NaN,0.609,
0.615,NaN,NaN,0.821,NaN,NaN,NaN,0.725,NaN,NaN,0.732,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.345,0.374,0.324,NaN,0.232,NaN,0.207,NaN,NaN,NaN,NaN,0.534,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
