0.098,0.166,NaN,0.143,0.143,0.103,0.138,0.067,NaN,0.063,NaN,NaN,NaN,
NaN,0.172,NaN,0.157,0.163,0.118,0.177,0.094,NaN,0.088,NaN,NaN,0.320,
NaN,0.186,NaN,0.165,0.159,0.218,0.206,0.092,0.136,NaN,NaN,NaN,0.300,
NaN,0.185,NaN,0.169,0.165,0.128,NaN,0.093,0.069,0.114,0.115,NaN,0.336,
NaN,0.187,NaN,0.159,NaN,0.157,0.195,0.093,NaN,NaN,NaN,NaN,0.272,
0.111,0.185,NaN,0.155,0.151,0.164,NaN,0.085,0.117,0.120,NaN,NaN,0.326,
0.112,0.191,NaN,0.166,0.190,0.155,NaN,0.090,0.162,0.136,NaN,NaN,0.379,
0.111,0.190,NaN,0.158,0.185,0.134,NaN,0.103,NaN,0.236,NaN,NaN,0.317,
0.227,0.277,NaN,0.284,0.202,0.253,NaN,0.195,NaN,0.232,NaN,NaN,0.417,
0.122,0.230,NaN,0.200,NaN,NaN,NaN,0.128,NaN,NaN,NaN,0.083,0.384,
0.122,0.182,NaN,0.162,NaN,NaN,NaN,0.096,NaN,NaN,0.143,NaN,0.330,
NaN,0.185,NaN,0.168,0.180,0.133,NaN,0.094,NaN,NaN,NaN,NaN,0.328,
NaN,0.394,NaN,0.391,NaN,NaN,0.398,0.310,NaN,NaN,NaN,NaN,0.435,
0.548,0.390,NaN,0.425,0.356,0.194,0.569,0.313,NaN,0.447,0.542,NaN,0.523,
0.160,0.222,0.263,0.212,NaN,NaN,NaN,0.135,NaN,0.114,NaN,NaN,0.364,
NaN,0.222,0.237,0.195,0.184,0.137,NaN,0.121,NaN,NaN,NaN,NaN,0.420,
NaN,NaN,NaN,0.424,NaN,0.522,0.190,0.356,NaN,NaN,NaN,NaN,0.579,
0.236,0.260,NaN,0.351,NaN,0.310,0.373,0.274,NaN,0.237,NaN,NaN,0.445,
0.106,0.189,NaN,0.157,0.150,0.132,NaN,0.091,NaN,0.135,NaN,NaN,0.326,
0.280,0.242,NaN,0.275,NaN,0.297,NaN,0.272,NaN,NaN,NaN,NaN,0.581,
