3.050,5.529,NaN,0.948,0.917,0.983,0.825,1.440,NaN,1.350,NaN,NaN,NaN,
NaN,5.694,NaN,1.167,1.317,1.117,1.400,1.750,NaN,1.567,NaN,NaN,10.825,
NaN,6.207,NaN,1.440,0.850,5.050,2.989,1.848,3.767,NaN,NaN,NaN,10.057,
NaN,6.204,NaN,1.338,1.492,1.350,NaN,1.983,1.717,2.658,2.683,NaN,11.412,
NaN,6.215,NaN,1.367,NaN,2.208,2.250,1.983,NaN,NaN,NaN,NaN,9.175,
3.667,6.094,NaN,1.181,1.233,2.167,NaN,1.931,3.283,2.683,NaN,NaN,11.042,
3.450,6.391,NaN,1.326,2.683,1.713,NaN,1.946,4.750,3.267,NaN,NaN,12.742,
3.483,6.421,NaN,1.263,2.358,1.892,NaN,2.172,NaN,5.433,NaN,NaN,10.594,
8.083,9.815,NaN,6.288,3.167,6.767,NaN,6.086,NaN,7.250,NaN,NaN,14.662,
3.950,7.848,NaN,2.941,NaN,NaN,NaN,3.354,NaN,NaN,NaN,1.650,13.097,
3.950,6.060,NaN,1.386,NaN,NaN,NaN,2.039,NaN,NaN,3.050,NaN,11.110,
NaN,6.173,NaN,1.304,1.567,1.550,NaN,1.973,NaN,NaN,NaN,NaN,11.094,
NaN,14.578,NaN,10.970,NaN,NaN,11.033,10.992,NaN,NaN,NaN,NaN,15.520,
21.500,14.394,NaN,12.404,9.392,3.950,17.117,11.058,NaN,16.050,20.633,NaN,18.773,
5.383,7.567,9.383,3.435,NaN,NaN,NaN,3.735,NaN,3.042,NaN,NaN,12.344,
NaN,7.563,8.250,2.926,1.967,2.000,NaN,3.254,NaN,NaN,NaN,NaN,14.352,
NaN,NaN,NaN,12.194,NaN,16.750,2.017,12.850,NaN,NaN,NaN,NaN,21.400,
8.583,9.164,NaN,9.038,NaN,9.067,5.833,9.255,NaN,7.250,NaN,NaN,15.603,
3.367,6.283,NaN,1.218,1.350,1.150,NaN,1.923,NaN,3.039,NaN,NaN,10.998,
10.317,8.405,NaN,5.860,NaN,8.408,NaN,9.350,NaN,NaN,NaN,NaN,20.700,
