0.042,0.068,NaN,0.069,NaN,NaN,0.048,0.031,0.026,0.033,NaN,NaN,NaN,
0.041,0.072,NaN,0.071,NaN,0.068,0.089,0.037,NaN,NaN,NaN,0.045,0.129,
NaN,0.078,NaN,0.070,0.066,NaN,0.069,0.042,0.044,NaN,NaN,NaN,0.145,
0.051,0.076,NaN,0.069,NaN,NaN,0.072,0.046,NaN,0.052,NaN,NaN,0.132,
0.041,0.076,NaN,0.077,0.062,0.067,0.083,0.040,0.053,0.050,NaN,NaN,0.145,
0.047,0.074,NaN,0.071,0.078,0.064,0.076,0.042,NaN,0.063,0.054,0.055,0.130,
0.049,0.074,NaN,0.072,0.069,0.053,0.079,0.049,NaN,NaN,NaN,NaN,0.135,
0.045,0.080,0.086,0.069,NaN,NaN,0.068,0.048,0.034,0.044,0.064,NaN,0.135,
NaN,0.109,NaN,0.103,0.100,NaN,0.134,0.071,NaN,NaN,NaN,NaN,0.152,
0.088,0.105,NaN,0.100,NaN,0.105,0.127,0.090,0.113,NaN,0.094,0.151,0.141,
NaN,0.078,NaN,0.071,0.065,0.088,NaN,0.046,0.086,NaN,NaN,NaN,0.126,
0.047,0.079,0.089,0.073,0.079,0.094,0.086,0.042,NaN,NaN,NaN,NaN,0.148,
0.038,0.092,NaN,0.077,NaN,0.055,0.077,0.061,0.106,NaN,0.105,NaN,0.155,
0.066,0.082,NaN,0.095,NaN,0.048,NaN,0.029,0.151,NaN,NaN,NaN,0.148,
0.103,0.115,0.190,0.093,NaN,0.073,NaN,0.079,0.146,0.080,NaN,0.074,0.168,
0.068,0.103,NaN,0.097,0.076,0.105,0.124,0.066,0.092,NaN,0.100,NaN,0.146,
NaN,0.196,NaN,0.169,0.046,0.066,NaN,0.110,NaN,0.066,0.130,NaN,0.216,
NaN,0.121,NaN,0.177,NaN,NaN,NaN,0.052,0.105,0.042,NaN,NaN,0.153,
NaN,0.080,NaN,0.068,NaN,0.064,NaN,0.050,0.046,NaN,NaN,0.118,0.139,
NaN,0.143,0.134,0.108,0.102,NaN,NaN,0.147,0.195,NaN,NaN,0.107,0.250,
