0.170,0.296,NaN,0.241,0.209,0.157,0.249,0.112,0.105,0.134,0.116,NaN,NaN,
0.188,0.311,0.337,0.253,NaN,0.217,NaN,0.170,0.208,0.200,NaN,NaN,0.567,
0.204,0.393,NaN,0.326,NaN,NaN,0.188,0.210,0.178,NaN,NaN,0.204,NaN,
0.251,0.369,NaN,0.316,0.570,0.365,NaN,0.234,NaN,NaN,NaN,0.169,0.560,
NaN,0.340,NaN,0.295,0.303,NaN,NaN,0.195,0.179,0.234,NaN,NaN,0.509,
NaN,0.371,NaN,0.315,0.376,0.320,NaN,0.234,NaN,NaN,NaN,NaN,0.648,
0.261,0.382,NaN,0.324,NaN,NaN,NaN,0.259,NaN,0.340,0.304,NaN,0.569,
NaN,0.384,NaN,0.316,0.506,NaN,NaN,0.194,0.362,NaN,NaN,NaN,0.580,
NaN,0.665,NaN,0.494,NaN,NaN,NaN,0.383,NaN,NaN,NaN,NaN,NaN,
0.305,0.614,NaN,0.428,0.396,0.455,NaN,0.344,NaN,0.483,NaN,NaN,NaN,
0.182,0.377,0.416,0.313,NaN,0.244,0.273,0.232,NaN,NaN,NaN,NaN,0.540,
NaN,0.363,0.407,0.308,0.310,0.166,NaN,0.190,NaN,0.276,NaN,0.389,0.539,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.501,NaN,0.473,0.667,0.522,NaN,0.374,NaN,NaN,NaN,NaN,0.615,
NaN,0.518,NaN,0.403,0.546,NaN,0.440,0.366,NaN,NaN,NaN,NaN,0.652,
0.654,0.788,NaN,0.805,NaN,0.803,NaN,0.704,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.281,0.356,NaN,0.307,NaN,0.295,0.420,0.206,NaN,0.284,NaN,NaN,0.559,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
