0.126,0.218,NaN,0.188,NaN,NaN,0.142,0.092,NaN,0.095,NaN,NaN,NaN,
0.146,0.216,NaN,0.181,NaN,NaN,0.232,0.112,0.151,0.143,NaN,NaN,0.418,
NaN,0.245,NaN,0.204,0.270,NaN,NaN,0.128,NaN,0.135,NaN,NaN,0.376,
0.145,0.258,0.291,0.211,0.225,0.215,0.247,0.141,0.199,0.185,NaN,NaN,0.440,
0.178,0.263,NaN,0.227,NaN,0.195,NaN,0.136,NaN,NaN,NaN,NaN,0.399,
NaN,0.278,NaN,0.218,0.215,0.237,0.213,0.151,0.199,NaN,0.218,NaN,0.434,
0.141,0.241,NaN,0.212,NaN,0.144,0.259,0.125,NaN,0.166,NaN,0.241,0.443,
0.145,0.254,NaN,0.224,0.233,0.255,0.266,0.157,NaN,NaN,NaN,NaN,0.387,
NaN,0.611,0.643,0.403,0.295,NaN,NaN,0.280,NaN,NaN,NaN,NaN,0.697,
NaN,0.349,NaN,0.291,0.352,0.245,0.356,0.210,NaN,NaN,0.288,NaN,0.467,
0.207,0.266,NaN,0.214,0.172,NaN,0.196,0.160,NaN,0.207,NaN,NaN,0.387,
0.153,0.253,NaN,0.208,0.201,0.241,0.229,0.157,NaN,0.165,NaN,NaN,0.480,
NaN,0.486,NaN,0.464,0.498,0.153,NaN,0.373,0.413,0.384,NaN,0.415,0.520,
0.505,0.471,NaN,0.398,0.486,NaN,NaN,0.464,0.319,NaN,NaN,NaN,0.601,
0.229,0.348,NaN,0.298,NaN,0.270,0.440,0.233,NaN,NaN,NaN,NaN,0.538,
NaN,0.375,0.368,0.276,0.328,0.314,0.275,0.210,0.302,NaN,NaN,NaN,0.463,
NaN,0.259,NaN,0.286,NaN,NaN,0.388,0.212,NaN,NaN,NaN,NaN,0.467,
0.187,0.386,NaN,0.385,0.396,NaN,NaN,0.131,0.203,NaN,NaN,NaN,0.461,
0.214,0.272,NaN,0.211,0.199,0.196,NaN,0.150,0.131,0.165,NaN,NaN,0.409,
0.455,0.457,NaN,0.452,NaN,NaN,NaN,0.324,NaN,NaN,NaN,NaN,0.544,
