NaN,0.187,0.211,0.153,0.121,0.073,0.147,0.069,NaN,0.075,NaN,NaN,NaN,
NaN,0.197,NaN,0.160,0.149,0.143,0.176,0.087,0.195,0.093,NaN,NaN,0.360,
0.148,0.203,NaN,0.180,NaN,0.154,0.200,0.102,NaN,0.089,NaN,NaN,0.363,
0.128,0.215,NaN,0.172,0.563,0.135,0.202,0.113,NaN,0.091,NaN,NaN,0.379,
0.128,0.209,NaN,0.169,0.148,NaN,0.187,0.105,0.140,NaN,NaN,0.173,0.351,
NaN,0.209,NaN,0.170,NaN,0.092,NaN,0.102,0.109,NaN,NaN,NaN,0.415,
0.135,0.203,NaN,0.173,0.165,0.195,NaN,0.108,NaN,NaN,NaN,NaN,0.351,
0.126,0.212,NaN,0.174,NaN,0.157,0.193,0.114,0.190,NaN,NaN,NaN,0.350,
0.264,0.360,NaN,0.359,0.520,0.548,0.492,0.307,NaN,NaN,NaN,NaN,0.540,
0.128,0.248,NaN,0.226,0.271,NaN,NaN,0.161,0.196,0.197,NaN,0.291,0.425,
0.120,0.208,NaN,0.176,NaN,NaN,NaN,0.108,NaN,NaN,NaN,NaN,0.321,
0.116,0.206,NaN,0.174,NaN,NaN,NaN,0.105,0.108,NaN,NaN,NaN,0.377,
NaN,NaN,NaN,0.436,NaN,NaN,0.428,0.350,NaN,0.363,NaN,NaN,NaN,
NaN,0.363,NaN,0.428,NaN,NaN,NaN,0.308,NaN,NaN,NaN,NaN,NaN,
0.127,0.263,NaN,0.246,NaN,0.206,NaN,0.153,0.165,NaN,NaN,NaN,0.418,
0.205,0.254,NaN,0.228,NaN,0.210,0.214,0.163,0.241,0.170,0.208,0.187,0.433,
0.348,NaN,NaN,0.418,NaN,NaN,NaN,0.322,NaN,NaN,NaN,NaN,NaN,
0.244,0.383,NaN,0.383,0.315,NaN,NaN,0.265,NaN,NaN,NaN,NaN,0.470,
0.126,0.215,NaN,0.176,NaN,0.159,NaN,0.106,NaN,0.243,NaN,NaN,NaN,
NaN,0.308,0.215,0.356,NaN,NaN,NaN,0.346,NaN,NaN,NaN,NaN,0.497,
