0.150,0.259,0.295,0.202,NaN,0.154,0.182,0.092,NaN,0.128,NaN,NaN,NaN,
0.162,0.271,0.341,0.220,NaN,NaN,0.237,0.139,NaN,0.156,NaN,NaN,0.468,
0.188,0.307,NaN,0.261,0.298,0.287,0.319,0.185,NaN,0.244,NaN,NaN,0.503,
0.168,0.318,NaN,0.268,NaN,0.189,NaN,0.175,NaN,0.232,NaN,NaN,0.556,
0.203,0.288,NaN,0.247,NaN,0.260,NaN,0.140,0.234,NaN,NaN,NaN,0.499,
0.212,0.320,0.347,0.247,NaN,NaN,0.283,0.165,NaN,NaN,NaN,NaN,0.503,
NaN,0.318,NaN,0.260,0.270,0.382,1.782,0.216,NaN,NaN,NaN,NaN,0.530,
0.198,0.316,NaN,0.262,NaN,0.234,0.265,0.157,0.125,NaN,NaN,NaN,0.487,
NaN,0.568,NaN,0.492,NaN,NaN,NaN,0.419,NaN,NaN,NaN,NaN,0.601,
NaN,0.426,NaN,0.369,0.342,0.382,NaN,0.316,0.301,NaN,NaN,NaN,0.654,
0.213,0.298,NaN,0.253,0.215,0.205,0.399,0.162,0.190,NaN,NaN,NaN,0.439,
NaN,0.309,NaN,0.243,NaN,0.228,NaN,0.170,NaN,NaN,0.249,NaN,0.490,
0.238,0.324,NaN,0.501,0.586,NaN,0.783,0.414,NaN,0.236,NaN,NaN,0.424,
NaN,NaN,NaN,0.477,NaN,NaN,NaN,0.523,NaN,NaN,NaN,NaN,NaN,
0.327,0.432,NaN,0.386,NaN,NaN,0.544,0.349,NaN,NaN,NaN,NaN,0.595,
0.321,0.380,NaN,0.319,NaN,NaN,NaN,0.280,NaN,NaN,NaN,NaN,0.544,
NaN,0.533,0.558,0.361,0.537,0.381,NaN,0.290,NaN,NaN,NaN,NaN,NaN,
0.272,0.566,NaN,0.336,NaN,NaN,0.334,NaN,0.222,NaN,NaN,NaN,NaN,
NaN,0.301,NaN,0.250,0.195,NaN,0.311,0.165,NaN,0.143,0.216,0.165,0.512,
NaN,NaN,NaN,0.425,NaN,0.235,0.502,0.455,NaN,NaN,NaN,NaN,NaN,
